%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1480963665090596529,86,1480963665070780992,/gps,0,1,42.2934996667,-71.2637193333,64.3,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963666090794385,87,1480963666072446107,/gps,0,1,42.293496,-71.2637398333,65.1,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963667091151324,88,1480963667072472095,/gps,0,1,42.2934901667,-71.2637488333,65.8,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963668091925281,89,1480963668075735092,/gps,0,1,42.2934861667,-71.2637521667,67.4,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963669092290616,90,1480963669074619054,/gps,0,1,42.2934771667,-71.2637425,65.2,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963670092757004,91,1480963670077868938,/gps,0,1,42.2934696667,-71.263809,69.5,1.8769,0.0,0.0,0.0,1.8769,0.0,0.0,0.0,7.5076,1
1480963671093211604,92,1480963671074100017,/gps,0,1,42.2934623333,-71.2638131667,69.4,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963672093712196,93,1480963672075823068,/gps,0,1,42.2934548333,-71.2638078333,67.9,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963673094280997,94,1480963673076869010,/gps,0,1,42.2934491667,-71.2638186667,68.1,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963674095196242,95,1480963674079791069,/gps,0,1,42.2934415,-71.2638281667,67.5,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963675095393213,96,1480963675073265075,/gps,0,1,42.2934378333,-71.2638245,65.0,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963676095687235,97,1480963676070132970,/gps,0,1,42.2934338333,-71.2638063333,62.7,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963677096116702,98,1480963677072449922,/gps,0,1,42.293427,-71.2637973333,60.4,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963678096311335,99,1480963678072906970,/gps,0,1,42.2934188333,-71.2638001667,60.5,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963679096636227,100,1480963679076234102,/gps,0,1,42.2934091667,-71.2638088333,60.0,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963680097028821,101,1480963680074857950,/gps,0,1,42.2934021667,-71.2638173333,60.1,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963681097093265,102,1480963681074649095,/gps,0,1,42.2933985,-71.263821,59.5,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963682097233618,103,1480963682077471017,/gps,0,1,42.2933913333,-71.2638326667,58.1,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963683097802917,104,1480963683072349071,/gps,0,1,42.293388,-71.2638466667,58.2,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963684097925393,105,1480963684074110984,/gps,0,1,42.2933831667,-71.2638438333,57.1,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963685098400717,106,1480963685074642896,/gps,0,1,42.2933816667,-71.2638485,57.1,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963686098614055,107,1480963686075062990,/gps,0,1,42.2933771667,-71.2638561667,56.3,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963687098871051,108,1480963687072463989,/gps,0,1,42.2933631667,-71.26384,54.9,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963688099287998,109,1480963688074841022,/gps,0,1,42.2933548333,-71.2638473333,54.4,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963689099448554,110,1480963689076045989,/gps,0,1,42.2933458333,-71.2638505,53.9,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963690099939129,111,1480963690080365896,/gps,0,1,42.2933403333,-71.2638785,54.6,1.6129,0.0,0.0,0.0,1.6129,0.0,0.0,0.0,6.4516,1
1480963691100256259,112,1480963691075417041,/gps,0,1,42.2933365,-71.2638901667,53.7,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963692100558319,113,1480963692075037956,/gps,0,1,42.293331,-71.263894,52.9,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963693100961470,114,1480963693076997995,/gps,0,1,42.293326,-71.2638828333,51.4,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963694101140078,115,1480963694074196100,/gps,0,1,42.2933188333,-71.2638926667,51.5,1.6129,0.0,0.0,0.0,1.6129,0.0,0.0,0.0,6.4516,1
1480963695101579864,116,1480963695080346107,/gps,0,1,42.2933136667,-71.263919,53.3,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963696101950467,117,1480963696080765008,/gps,0,1,42.2933086667,-71.2639291667,53.5,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963697101916804,118,1480963697081077098,/gps,0,1,42.2933063333,-71.2638553333,47.2,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963698102346394,119,1480963698076282978,/gps,0,1,42.293304,-71.2638221667,43.7,1.8496,0.0,0.0,0.0,1.8496,0.0,0.0,0.0,7.3984,1
1480963699102483680,120,1480963699075860977,/gps,0,1,42.2933011667,-71.2638041667,41.2,1.8496,0.0,0.0,0.0,1.8496,0.0,0.0,0.0,7.3984,1
1480963700103026342,121,1480963700077269077,/gps,0,1,42.2932958333,-71.2638046667,40.3,1.8496,0.0,0.0,0.0,1.8496,0.0,0.0,0.0,7.3984,1
1480963701103108459,122,1480963701080655097,/gps,0,1,42.2932916667,-71.2637886667,38.2,1.8496,0.0,0.0,0.0,1.8496,0.0,0.0,0.0,7.3984,1
1480963702103333028,123,1480963702081023931,/gps,0,1,42.293288,-71.2637746667,36.3,1.8496,0.0,0.0,0.0,1.8496,0.0,0.0,0.0,7.3984,1
1480963703103519145,124,1480963703080848932,/gps,0,1,42.2932881667,-71.2637705,35.1,1.8496,0.0,0.0,0.0,1.8496,0.0,0.0,0.0,7.3984,1
1480963704103886742,125,1480963704078888893,/gps,0,1,42.2932866667,-71.2637733333,34.2,1.8496,0.0,0.0,0.0,1.8496,0.0,0.0,0.0,7.3984,1
